模块,卡片标题,浮现说明（解释+计算）,涉及模态
消耗分析,可用额度,可继续消费的实时余额。,—
消耗分析,累计充值,账户开通至今的付费充值到账总额（不含赠金）。,—
消耗分析,累计消费,账户开通至今的累计扣费总额。,—
消耗分析,赠金,平台赠送的代金余额，消费时优先于充值余额抵扣。,—
消耗分析,请求数,API 请求总数。,文本、图像、音频、视频
消耗分析,总 token,Token 消耗总量，分输入/缓存/输出。,文本、图像、音频、视频
消耗分析,图片生成,图片生成任务数，分成功/失败。,文本→图像
消耗分析,视频生成,视频生成任务数，分成功/失败。,文本→视频
消耗分析,用量汇总,Token 用量的走势，分输入/缓存/输出。,文本、图像、音频、视频
消耗分析,消费汇总,消费金额的走势。,文本、图像、音频、视频
消耗分析,按服务商分布,消耗按上游服务商归因，可切换费用/Token 口径。,文本、图像、音频、视频
消耗分析,按模型分布,消耗按具体模型归因，可切换费用/Token 口径。,文本、图像、音频、视频
消耗分析,消耗排行,按部门 / 用户 / API Key 三个层级看消耗排行，可切换费用/Token 口径。,文本、图像、音频、视频
缓存命中,缓存命中token数,缓存命中Input Token数。,文本
缓存命中,缓存节省成本,命中缓存免去真实模型调用所估算的累计节省金额。,文本
报错分析,报错率,服务报错的请求占比。,文本、图像、音频、视频
报错分析,报错数量,报错请求数，按 HTTP 状态码拆分。,文本、图像、音频、视频
报错分析,报错类型分布,报错请求按错误类型归类,文本、图像、音频、视频
报错分析,挽救请求数,Fallback成功的请求数,文本、图像、音频、视频
延迟分析,平均延迟,请求端到端总耗时的分位数（P50/P95/P99），可切换分位看长尾。计算：对区间内全部请求的端到端耗时取所选分位（非按请求量加权）。,文本
延迟分析,平均首字延迟 (TTFT),从发起请求到首个 Token 返回的耗时（TTFT），衡量流式初始体验。计算：对区间内各请求 TTFT 取平均。,文本
多媒体模型,多模态调用量,多模态请求次数，按模态（图像/音频/视频）拆分。计算：按模态分别累加请求次数。,图像、音频、视频
多媒体模型,平均生成时长,多模态生成任务从提交到产物完成的生成时长分位数（P50/P95/P99），可按模态切换。计算：对区间内该模态全部生成任务的处理时长取所选分位（非按请求量加权）。,图像、音频、视频
多媒体模型,生成类型分布,生成媒体类型（图片/视频/音频）的占比。,图像、音频、视频
多媒体模型,多模态成本,各模态生成请求的实际扣费累加。,图像、音频、视频
